iter	Passed	Remaining
0	1	104
1	2	114
2	3	105
3	3	93
4	4	90
5	5	86
6	6	84
7	7	82
8	7	80
9	8	78
10	9	77
11	10	75
12	11	75
13	12	73
14	12	73
15	13	72
16	14	71
17	15	70
18	16	69
19	17	69
20	18	68
21	18	66
22	19	66
23	20	64
24	21	63
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	39	68
37	40	66
38	42	65
39	43	65
40	44	64
41	45	62
42	47	62
43	48	62
44	50	61
45	52	61
46	54	61
47	60	65
48	61	63
49	62	62
50	62	60
51	63	59
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	70	50
58	71	49
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	106	48
69	107	46
70	108	44
71	110	42
72	111	41
73	112	39
74	113	37
75	114	36
76	115	34
77	117	33
78	118	31
79	119	29
80	120	28
81	121	26
82	122	25
83	124	23
84	125	22
85	126	20
86	128	19
87	130	17
88	131	16
89	132	14
90	133	13
91	134	11
92	135	10
93	136	8
94	138	7
95	140	5
96	141	4
97	142	2
98	144	1
99	146	0
