iter	Passed	Remaining
0	109	109563
1	110	55216
2	112	37273
3	113	28216
4	114	22816
5	115	19163
6	117	16615
7	117	14618
8	118	13064
9	119	11799
10	119	10764
11	120	9900
12	120	9169
13	121	8544
14	121	8002
15	122	7526
16	122	7106
17	123	6729
18	123	6392
19	124	6089
20	124	5815
21	125	5566
22	126	5352
23	127	5165
24	127	4984
25	128	4811
26	129	4657
27	129	4512
28	130	4374
29	131	4257
30	132	4137
31	132	4018
32	133	3907
33	133	3801
34	134	3702
35	134	3609
36	135	3521
37	135	3437
38	136	3357
39	136	3281
40	137	3208
41	137	3139
42	138	3074
43	138	3011
44	139	2951
45	139	2896
46	140	2855
47	141	2811
48	142	2763
49	143	2720
50	143	2677
51	144	2638
52	145	2596
53	145	2555
54	146	2516
55	146	2476
56	147	2438
57	147	2401
58	148	2365
59	148	2330
60	149	2296
61	149	2264
62	150	2232
63	150	2202
64	151	2173
65	151	2144
66	152	2117
67	152	2090
68	152	2063
69	153	2037
70	153	2013
71	155	1997
72	155	1980
73	156	1960
74	157	1939
75	157	1920
76	158	1900
77	159	1883
78	159	1862
79	160	1843
80	160	1823
81	161	1805
82	161	1784
83	161	1766
84	162	1748
85	162	1731
86	163	1714
87	163	1697
88	164	1681
89	164	1665
90	165	1650
91	165	1635
92	166	1620
93	166	1605
94	167	1591
95	167	1577
96	167	1563
97	168	1549
98	168	1538
99	169	1529
100	170	1520
101	171	1509
102	172	1498
103	172	1487
104	173	1478
105	174	1470
106	175	1461
107	175	1449
108	176	1438
109	176	1428
110	176	1417
111	177	1406
112	177	1396
113	178	1386
114	178	1376
115	179	1366
116	179	1356
117	180	1346
118	180	1336
119	181	1327
120	181	1318
121	181	1308
122	182	1299
123	182	1291
124	183	1282
125	183	1274
126	184	1268
127	185	1262
128	186	1256
129	186	1250
130	187	1244
131	188	1238
132	188	1231
133	189	1224
134	189	1216
135	190	1209
136	190	1201
137	191	1194
138	191	1187
139	192	1180
140	192	1173
141	192	1165
142	193	1158
143	193	1152
144	194	1146
145	194	1140
146	195	1134
147	195	1127
148	196	1121
149	196	1115
150	197	1109
151	197	1103
152	198	1097
153	199	1095
154	200	1091
155	201	1088
156	201	1083
157	202	1079
158	203	1075
159	204	1072
160	204	1066
161	205	1061
162	205	1056
163	206	1050
164	206	1045
165	207	1040
166	207	1035
167	207	1029
168	208	1024
169	208	1019
170	209	1014
171	209	1009
172	210	1005
173	210	1000
174	211	995
175	211	990
176	212	986
177	212	981
178	212	976
179	213	972
180	214	969
181	215	967
182	216	965
183	216	961
184	217	958
185	218	954
186	218	951
187	219	948
188	220	944
189	220	940
190	220	935
191	221	931
192	221	927
193	222	923
194	222	919
195	223	916
196	223	912
197	224	908
198	224	904
199	225	900
200	225	896
201	226	892
202	226	889
203	226	885
204	227	881
205	227	878
206	228	874
207	229	872
208	230	870
209	230	868
210	231	865
211	232	863
212	233	861
213	233	858
214	234	855
215	234	851
216	235	848
217	235	845
218	236	841
219	236	838
220	237	835
221	237	832
222	237	828
223	238	825
224	238	822
225	239	819
226	239	816
227	240	813
228	240	810
229	241	807
230	241	804
231	242	801
232	242	798
233	242	795
234	243	793
235	244	792
236	245	790
237	246	788
238	246	785
239	247	784
240	248	782
241	248	779
242	249	776
243	249	773
244	250	771
245	250	768
246	251	765
247	251	763
248	252	760
249	252	757
250	253	755
251	253	752
252	253	749
253	254	747
254	254	744
255	255	741
256	255	739
257	256	736
258	256	734
259	257	731
260	257	729
261	257	726
262	258	725
263	259	724
264	260	722
265	261	720
266	262	719
267	262	717
268	263	715
269	263	713
270	264	711
271	264	708
272	265	706
273	265	704
274	266	701
275	266	699
276	267	697
277	267	694
278	268	692
279	268	690
280	269	688
281	269	686
282	269	683
283	270	681
284	270	679
285	271	677
286	271	675
287	272	672
288	272	670
289	273	668
290	274	668
291	275	667
292	276	666
293	276	664
294	277	663
295	278	662
296	278	660
297	279	658
298	279	656
299	280	654
300	280	652
301	281	650
302	281	647
303	282	646
304	282	644
305	283	642
306	283	640
307	284	638
308	284	636
309	284	634
310	285	632
311	285	630
312	286	628
313	286	626
314	287	624
315	287	622
316	288	621
317	289	620
318	290	619
319	290	617
320	291	616
321	293	618
322	294	617
323	295	616
324	296	614
325	296	613
326	297	611
327	297	609
328	297	607
329	298	605
330	298	604
331	299	602
332	299	600
333	300	598
334	300	596
335	301	595
336	301	593
337	301	591
338	302	589
339	302	587
340	303	587
341	305	586
342	305	585
343	306	584
344	307	583
345	307	581
346	308	580
347	309	578
348	310	578
349	310	577
350	311	575
351	311	573
352	312	572
353	312	570
354	313	568
355	313	567
356	314	565
357	314	563
358	314	562
359	315	560
360	315	559
361	316	557
362	316	555
363	317	554
364	317	552
365	318	551
366	319	550
367	320	549
368	320	548
369	321	547
370	322	546
371	323	545
372	323	544
373	324	542
374	324	541
375	325	539
376	325	538
377	326	536
378	326	535
379	326	533
380	327	531
381	327	530
382	328	528
383	328	527
384	329	525
385	329	524
386	330	522
387	330	521
388	331	520
389	331	518
390	332	517
391	332	515
392	332	514
393	334	514
394	335	514
395	336	513
396	337	512
397	337	511
398	338	509
399	339	508
400	339	507
401	341	507
402	341	506
403	342	504
404	342	503
405	343	502
406	343	500
407	344	499
408	344	497
409	344	496
410	345	494
411	345	493
412	346	492
413	346	490
414	347	489
415	347	487
416	348	487
417	350	487
418	350	486
419	351	485
420	352	484
421	352	483
422	353	482
423	354	481
424	354	479
425	355	478
426	355	477
427	355	475
428	356	474
429	356	473
430	357	471
431	357	470
432	358	469
433	358	468
434	359	466
435	359	465
436	360	464
437	360	462
438	361	461
439	361	460
440	362	459
441	363	458
442	364	458
443	366	459
444	368	459
445	369	458
446	369	457
447	370	456
448	370	455
449	371	454
450	372	452
451	372	451
452	373	450
453	373	449
454	374	448
455	374	447
456	375	446
457	376	444
458	376	443
459	377	442
460	378	442
461	379	441
462	380	441
463	381	440
464	382	439
465	383	438
466	383	437
467	384	436
468	384	435
469	385	434
470	386	433
471	386	432
472	387	431
473	388	430
474	391	432
475	392	431
476	393	431
477	394	430
478	395	429
479	395	428
480	396	427
481	396	426
482	397	425
483	398	424
484	398	423
485	399	422
486	399	421
487	400	420
488	400	419
489	401	417
490	402	416
491	402	415
492	403	414
493	405	414
494	406	414
495	407	414
496	408	413
497	410	414
498	411	413
499	412	412
500	413	411
501	413	410
502	414	409
